Cmdline: /system/bin/simpleperf record -p 30765 --duration 8 -o /data/local/tmp/perf.data
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 14060
Event count: 5616537326

Children  Self   Shared Object                                                                                                                                   Symbol
3.95%     3.95%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83318]
2.43%     2.43%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83530]
2.21%     2.21%  [JIT app cache]                                                                                                                                 art_jni_trampoline
2.03%     2.03%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c7dd54]
1.98%     1.98%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83304]
1.76%     1.76%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c2f8]
1.74%     1.74%  /apex/com.android.art/lib64/libart.so                                                                                                           void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
1.64%     1.64%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8c958]
1.46%     1.46%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c210]
1.45%     1.45%  [kernel.kallsyms]                                                                                                                               _raw_spin_unlock_irqrestore
1.39%     1.39%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c214]
1.38%     1.38%  /system/lib64/libhwui.so                                                                                                                        android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)
1.17%     1.17%  /system/lib64/libhwui.so                                                                                                                        android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
1.09%     1.09%  /system/lib64/libhwui.so                                                                                                                        SkCanvas::drawTextBlob(SkTextBlob const*, float, float, SkPaint const&)
1.06%     1.06%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c2b0]
0.94%     0.94%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cad8]
0.93%     0.93%  [kernel.kallsyms]                                                                                                                               __pi_clear_page
0.87%     0.87%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cadc]
0.87%     0.87%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cbc0]
0.73%     0.73%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83528]
0.72%     0.72%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c218]
0.69%     0.69%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83564]
0.69%     0.69%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c21c]
0.68%     0.68%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83554]
0.65%     0.65%  /apex/com.android.art/lib64/libart.so                                                                                                           art::mirror::String::CharAt(int)
0.62%     0.62%  /apex/com.android.art/lib64/libart.so                                                                                                           art::JniDecodeReferenceResult(_jobject*, art::Thread*)
0.60%     0.60%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c2b4]
0.59%     0.59%  [JIT app cache]                                                                                                                                 android.widget.Editor.getAvailableDisplayListIndex
0.59%     0.59%  [JIT app cache]                                                                                                                                 org.json.JSONStringer.string
0.57%     0.57%  [JIT app cache]                                                                                                                                 java.lang.AbstractStringBuilder.append
0.57%     0.57%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c20c]
0.56%     0.56%  [JIT app cache]                                                                                                                                 java.lang.String.indexOf
0.55%     0.55%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c2fc]
0.54%     0.54%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  scudo::HybridMutex::unlock()
0.50%     0.50%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8332c]
0.46%     0.46%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  __memcpy_aarch64_simd
0.44%     0.44%  /system/lib64/libhwui.so                                                                                                                        android::uirenderer::skiapipeline::SkiaRecordingCanvas::drawRenderNode(android::uirenderer::RenderNode*)
0.44%     0.44%  [JIT app cache]                                                                                                                                 org.json.JSONTokener.nextString
0.44%     0.44%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c268]
0.43%     0.43%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c224]
0.43%     0.43%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  __strcmp_aarch64
0.42%     0.42%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cb78]
