inference_index,op_index,event_name,semantic_layer_name,kernel_tag,semantic_role,relative_start_ns,duration_ns,absolute_monotonic_start_ns,absolute_monotonic_end_ns,inference_ts_start_ns,inference_ts_end_ns,inference_dur_us,source_etdump_file
0,0,"Transpose (ND, X32) #1",layout_transform,TRANSPOSE,layout_transform,0,4815000,1476872966792978,1476872971607978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,1,"Convolution (NHWC, F32) IGEMM #1",features.0.0,K3,stem_conv,4815000,3904000,1476872971607978,1476872975511978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,2,"Convolution (NHWC, F32) DWConv #1",features.1.conv.0,K3DW,depthwise,8719000,4019000,1476872975511978,1476872979530978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,3,"Fully Connected (NC, F32) GEMM #1",features.1.conv.3,K1,project,12738000,3526000,1476872979530978,1476872983056978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,4,"Fully Connected (NC, F32) GEMM #2",features.2.conv.0,K1,expand,16264000,4448000,1476872983056978,1476872987504978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,5,"Convolution (NHWC, F32) DWConv #2",features.2.conv.3,K3DW,depthwise,20712000,3611000,1476872987504978,1476872991115978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,6,"Fully Connected (NC, F32) GEMM #3",features.2.conv.6,K1,project,24323000,3894000,1476872991115978,1476872995009978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,7,"Fully Connected (NC, F32) GEMM #4",features.3.conv.0,K1,expand,28217000,4016000,1476872995009978,1476872999025978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,8,"Convolution (NHWC, F32) DWConv #3",features.3.conv.3,K3DW,depthwise,32233000,4416000,1476872999025978,1476873003441978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,9,"Fully Connected (NC, F32) GEMM #5",features.3.conv.6,K1,project+skip_fused,36649000,4048000,1476873003441978,1476873007489978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,10,Add (ND) #1,residual_add,ADD,residual_add,40697000,3673000,1476873007489978,1476873011162978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,11,"Fully Connected (NC, F32) GEMM #6",features.4.conv.0,K1,expand,44370000,4056000,1476873011162978,1476873015218978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,12,"Convolution (NHWC, F32) DWConv #4",features.4.conv.3,K3DW,depthwise,48426000,3735000,1476873015218978,1476873018953978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,13,"Fully Connected (NC, F32) GEMM #7",features.4.conv.6,K1,project,52161000,3694000,1476873018953978,1476873022647978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,14,"Fully Connected (NC, F32) GEMM #8",features.5.conv.0,K1,expand,55855000,3601000,1476873022647978,1476873026248978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,15,"Convolution (NHWC, F32) DWConv #5",features.5.conv.3,K3DW,depthwise,59456000,3765000,1476873026248978,1476873030013978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
0,16,"Fully Connected (NC, F32) GEMM #9",features.5.conv.6,K1,project+skip_fused,63221000,3741000,1476873030013978,1476873033754978,1476872966792978,1476873213171152,246378,cache_2026-04-17_07-01-50_executorch_iter_00.etdump
